1调查地区,2年龄,3性别,4户口,5职业状况,6身体健康状况,7A ,7B ,7C ,7D,7E,7F ,7G ,7H,8worry_risk,9A,9B ,9C ,9D ,9E ,9F,9G,9H ,9I ,9J ,商业医疗保险,商业医疗保险购买条件,商业医疗保险不考虑,商业护理保险,护理保险购买条件,护理保险不考虑购买商业护理保险，主要原因,商业重大疾病保险,疾病保险保险产品购买条件,重大疾病不考虑购买原因,税前总收入
江西,45,2,6,4,4,0,0,0,1,1,1,0,0,居住环境、家庭环境、心理情绪,0,0,0,1,0,1,0,0,0,0,2,-3,居住环境、家庭环境、心理情绪,2,-3,居住环境、家庭环境、心理情绪,2,-3,居住环境、家庭环境、心理情绪,5
河南,38,1,5,2,1,0,1,1,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,1,无,-3,1,无,-3,2,-3,无,2
河南,46,1,2,1,4,1,0,0,0,0,1,1,0,子女很少陪伴心灵空虚,1,1,0,0,0,0,1,0,0,0,1,大病小病统统报销,-3,1,连续缴费时间不要太长,-3,2,-3,不用买那么多保险,4
河南,58,2,1,6,3,1,1,0,1,1,1,1,0,家庭开销大，收入少，供子女读书，赡养家里老人,0,0,0,0,0,1,1,0,0,0,1,报销多,-3,2,-3,太贵，没有钱,2,-3,太贵，支付不起,1
山西,36,2,2,2,3,0,0,1,0,0,0,0,0,疾病,0,0,1,0,0,0,0,0,0,0,2,-3,资金问题,1,风险性小,-3,2,-3,资金有限,4
河南,42,2,2,5,3,1,1,0,0,0,0,0,0,患重病，经济负担重,0,0,0,1,0,1,0,0,0,0,2,-3,保障时间短,2,-3,缴费时间长,2,-3,缴费时间长,2
山西,42,2,2,6,3,1,0,0,0,0,0,0,0,对于自己未来的养老问题最担心，现在都是一个孩子，以后也不想给孩子增加负担,0,0,0,1,0,0,0,0,0,0,2,-3,不保险,2,-3,连续缴费时间太长,1,是正规的保险公司,-3,2
湖北,45,1,1,1,2,0,0,1,1,1,0,0,0,居住环境、家庭关系、心理情绪,0,0,1,0,1,0,1,0,0,0,2,-3,没考虑过这个问题,2,-3,没考虑过这个问题,2,-3,没考虑过这个问题,4
山东,33,1,2,3,1,1,0,0,0,0,0,0,0,环境差,1,0,0,0,0,0,0,0,0,0,2,-3,没用,2,-3,没用,2,-3,没用,1
山东,45,2,4,8,2,1,1,0,0,0,0,1,0,子女对我的情绪照顾不当，会表现出不耐烦的样子，,1,0,1,1,0,0,0,0,0,0,1,情绪开导，心理指导,-3,1,护工会照顾我的情绪，不止照顾我的身体！,-3,2,-3,放弃,3
甘肃,40,1,1,1,1,1,0,0,0,0,0,0,0,1，养老,1,0,0,0,0,0,0,0,0,1,2,-3,费用太昂贵,1,1，费用低。2.服务态度好,-3,1,1，诚信，2.费用低,-3,1
甘肃,45,1,1,1,3,1,0,0,0,0,1,1,0,家庭关系,0,0,0,1,0,0,0,0,0,0,2,-3,有医保,2,-3,有,2,-3,有医保,2
河北,30,1,2,2,1,1,1,0,1,0,0,0,0,经济问题就是开销啥的负担不起，怕生病治不起,1,0,0,1,0,0,1,0,0,0,1,价格低，服务好,-3,2,-3,没必要,1,价格低，效益好,-3,5
江苏,36,1,1,2,1,1,0,1,1,0,0,0,0,疾病 心里情绪 居住环境,1,0,0,1,0,0,1,0,0,0,2,-3,没有资金，只有一年,1,价格适宜 有效 服务到位,-3,1,价格合适 服务具体 态度良好,-3,2
广西,30,1,2,5,3,0,1,0,0,0,0,0,0,没有房子,1,1,0,0,0,1,0,0,0,0,1,报销医疗费,-3,2,-3,没有钱,2,-3,不会生病的,1
河北,50,1,2,5,4,0,0,1,0,0,0,0,0,收入,0,0,0,0,0,0,1,0,0,0,2,-3,贵,2,-3,贵,2,-3,贵,3
甘肃,52,1,1,1,1,1,1,0,0,0,0,0,0,疾病，自理能力下降,1,0,0,0,0,0,0,0,0,0,1,便宜，实惠,-3,1,方便，实惠,-3,1,方便，实惠,-3,1
河北,31,1,1,4,2,1,1,1,1,1,1,1,0,1.出行不便2.子女不陪,0,0,1,1,0,0,0,0,0,0,1,1.重大疾病包含的比较全2.有比较大的医疗保障,-3,1,1.护工问题2.出门要有人监护,-3,2,-3,1.患病几率小2.赔偿金额相对治疗金额微不足道,3
北京,55,1,1,3,2,0,0,1,1,0,0,0,0,开销,0,1,0,0,1,0,0,0,0,0,1,1,-3,2,-3,1,2,-3,1,2
甘肃,44,1,2,4,1,1,0,0,0,0,0,0,0,疾病人有生老病死,1,0,1,1,0,0,0,0,0,0,1,有保障 盈利,-3,1,可靠,-3,1,可靠,-3,2
甘肃,43,2,1,2,3,0,0,1,0,0,0,0,0,居住房间过久，自理能力下降，疾病对，收入低,1,0,0,0,0,0,0,0,0,0,1,能够保障医疗报销，按时上门服务,-3,1,价钱低一点，护理专业好，态度好,-3,1,保障承诺到位，不能欺骗消费者,-3,7
吉林,35,2,2,2,3,0,0,0,1,0,0,0,0,收入,1,0,0,0,0,0,0,0,0,0,1,便宜。有效,-3,2,-3,有保障,1,便宜。有效,-3,4
河北,30,2,2,2,3,1,1,1,0,1,0,0,0,收入和疾病,1,0,0,0,1,1,1,0,0,0,2,-3,时间太短,1,有保障    不要太贵,-3,2,-3,没必要,2
河北,50,2,2,1,4,1,1,0,1,1,1,1,0,疾病  开销   居住环境,0,1,0,1,0,0,1,0,0,0,2,-3,时间太短,1,有保障,-3,1,有保障,-3,4
吉林,38,1,1,3,3,0,0,0,0,1,1,0,0,收入居住环境疾病,1,0,0,0,0,0,0,0,0,0,1,有效,-3,2,-3,不必太多保险,2,-3,身体健康,3
北京,30,1,5,2,3,0,0,0,0,0,1,0,0,疾病，收入，环境,0,1,0,0,0,0,0,0,0,0,1,有钱，有时间,-3,1,方便，快捷,-3,1,有保障,-3,4
河北,31,1,3,3,1,0,1,0,0,0,1,1,0,收入开销疾病,0,1,0,1,0,1,1,0,0,0,2,-3,没必要,2,-3,没必要,2,-3,没必要,5
重庆,35,2,1,2,3,1,1,0,0,0,0,0,0,收入居家开销,1,0,0,0,0,0,0,0,0,0,1,免费实惠,-3,2,-3,贵,1,便宜,-3,1
河北,32,2,1,2,2,1,0,0,0,0,0,0,0,收入，开销，疾病现在挣的钱，花的多，年龄越来越大身体也越来越不好,1,0,0,0,0,0,0,0,0,0,2,-3,收入不稳定,1,收费低   有保证,-3,2,-3,收入不稳定,1
吉林,40,2,2,4,3,0,0,1,0,0,0,0,0,开销工作居住环境,1,0,0,0,0,0,0,0,0,0,1,有医疗保险。有效,-3,2,-3,有居住环境,2,-3,身体健康,4
河北,35,1,1,1,1,0,1,0,0,0,1,1,0,疾病  开销  居住环境  家庭关系,0,1,0,1,0,0,0,0,0,0,2,-3,没必要,2,-3,没必要,2,-3,没必要,5
河北,36,1,3,3,1,0,1,0,0,0,1,1,0,疾病  开销  居住环境  家庭关系,0,1,0,1,0,0,1,0,0,0,2,-3,没必要,2,-3,没必要,2,-3,没必要,5
吉林,35,2,2,4,3,0,0,1,0,0,0,0,0,收入居住环境开销,1,0,0,0,0,0,0,0,0,0,1,对身体有好处。有效,-3,2,-3,身体健康,2,-3,身体健康,5
河北,42,1,1,5,3,1,0,0,0,0,0,0,0,疾病，收入，开销,1,0,0,0,0,0,0,0,0,0,2,-3,时间短,1,优惠廉价   有保证,-3,1,优惠  廉价,-3,1
河北,30,2,1,1,1,1,0,0,0,0,0,0,0,收入，开销，居住环境,1,0,0,0,0,0,0,0,0,0,1,价格，报销范围，报销比例,-3,1,价格低廉，提供护理,-3,1,价格低廉，提供护理,-3,1
河北,30,2,4,3,1,0,1,0,0,0,1,1,0,疾病  开销  居住环境  家庭关系,0,1,0,1,0,0,1,0,0,0,2,-3,没必要,2,-3,没必要,2,-3,没必要,5
北京,30,1,1,1,3,1,0,0,0,0,1,0,0,没钱,1,0,0,0,0,0,0,0,0,0,2,-3,不安全,1,安全,-3,1,安全,-3,3
河北,50,1,2,7,1,0,1,0,0,0,0,0,0,疾病  开销  居住环境  家庭关系,0,0,0,0,0,0,1,0,0,0,2,-3,没必要,2,-3,没必要,2,-3,没必要,7
吉林,45,1,2,2,3,0,0,0,0,0,0,1,0,身体问题居住环境自理,1,0,0,0,0,0,0,0,0,0,2,-3,身体很好,1,对以后有帮助。有效的,-3,2,-3,不必太多保险,5
甘肃,50,1,1,6,2,1,0,0,0,0,0,0,0,收入低,1,0,0,1,0,0,0,0,0,0,1,价格合理，有保障,-3,1,价格合理，有保障,-3,1,价格合理，有保障,-3,1
天津,50,1,2,7,2,1,0,0,0,0,1,0,0,自理或活动能力下降 家庭关系  疾病,1,0,0,1,1,0,0,0,0,0,1,有保证  温暖人性化,-3,1,有保证  实用,-3,1,平价   有保证,-3,2
河北,30,1,1,2,2,1,0,0,0,0,1,1,0,患有慢性病长期服药，药费贵，收入有限，生活费不足。儿女因为工作在家的时间很少,1,0,1,1,0,0,1,0,0,0,1,每年的缴费比较低，不会对我造成很大的压力。保险的效率快。,-3,1,每年的缴费不会太贵。产品的范围大,-3,2,-3,我现在的经济能力有限，太贵了,2
河北,59,1,2,7,1,0,1,0,0,0,1,0,0,疾病  开销  居住环境  家庭关系,0,0,0,0,0,0,1,0,0,0,2,-3,没必要,2,-3,没必要,2,-3,没必要,7
北京,35,1,1,1,3,1,1,0,0,0,0,0,0,健康,1,0,0,0,0,0,0,0,0,0,2,-3,安全,1,安全,-3,1,安全,-3,3
河北,31,1,1,4,2,1,1,0,1,0,0,0,0,1.疾病。会导致花销太大，给家庭造成困难。2.自理。若有意外，导致无法自理，会给家人增加负担。3.居住环境。雾霾的持续严重会导致一些肺部疾病。,1,0,0,1,0,0,0,0,0,0,2,-3,经济负担,2,-3,经济负担，生活环境，自理能力,1,保险费用是否返还,-3,1
河北,40,1,1,5,3,0,0,1,0,0,0,0,0,手续,1,0,0,1,0,0,0,0,0,0,1,好,-3,1,mi,-3,1,你,-3,2
吉林,36,2,1,4,1,0,0,1,0,0,0,0,0,收入开销居住环境,0,0,1,0,0,0,0,0,0,0,2,-3,期限短,1,对身体有好处,-3,2,-3,不必太多保险,4
重庆,50,2,1,6,3,1,1,0,1,0,0,0,0,收入：没有经济来源，没钱花，疾病：怕患重大疾病花钱还治不好，自理：不能自理需要他人照顾,1,1,0,1,0,0,1,0,0,0,1,价格合理，有保障,-3,2,-3,太贵了,1,价格合理,-3,1
河北,36,1,2,3,1,0,1,0,0,0,1,1,0,疾病  开销  居住环境  家庭关系,0,1,0,1,0,1,1,0,0,0,2,-3,没必要,2,-3,没必要,2,-3,没必要,5
河北,46,1,2,5,4,0,1,0,0,0,0,0,0,嗨,1,0,0,0,0,0,0,0,0,0,1,朱,-3,1,哄,-3,1,161,-3,1
河北,35,1,1,2,2,1,1,0,0,0,0,0,0,家庭关系、心里情绪、疾病,1,0,0,0,0,0,0,0,0,0,1,比较安全,-3,1,比较安全,-3,2,-3,太贵,1
湖南,32,1,3,4,2,1,0,0,0,0,1,1,0,健康问题，怕生病影响孩子们正常生活状态，担心孩子，担心他们工作孩子没人待等,1,0,0,0,1,0,1,0,0,0,1,报销过程简单点；保险产品经国家有关部门授权而非个人随意组织的。,-3,1,护理员具备专业素养；经济补偿比例能相对其他的高一点。,-3,1,缴费年数不能太长，10年以内；如果一旦患有疾病，报销程序简单不繁琐。,-3,7
河北,31,2,1,2,1,1,0,0,0,0,0,0,0,我最担心我的老年生活有疾病困扰,0,0,0,1,0,0,0,0,0,0,2,-3,我认为农村医保很好，够了，而且我身体很健康,1,我怕给子女添负担。我希望我自己有好的护理,-3,2,-3,重大疾病得了就得了，我可以接受,2
天津,49,2,2,4,3,0,1,0,0,0,0,0,0,会,0,1,0,0,0,0,0,0,0,0,2,-3,贵,1,1孩子,-3,2,-3,孩子,2
天津,40,1,1,1,3,1,0,0,0,0,0,0,0,健康,1,0,0,0,0,0,0,0,0,0,1,安全感,-3,1,安全感,-3,1,安全点的,-3,2
吉林,31,2,2,1,1,0,0,0,0,0,0,1,0,疾病居住环境收入,0,0,0,0,1,0,0,0,0,0,2,-3,身体不错,1,长远的保险。有效的,-3,2,-3,身体健康,5
河北,36,2,1,2,3,1,1,1,1,1,1,1,0,疾病  开销  居住环境  家庭关系,1,0,0,0,1,1,1,0,0,0,2,-3,没必要,1,多方面保险,-3,1,多方面保险,-3,3
河北,46,1,2,5,4,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,晚上我,-3,1,孩子,-3,2,-3,贵,1
河北,36,1,1,2,3,1,1,1,0,0,0,0,0,居住环境,1,0,0,1,0,0,0,0,0,0,1,安全,-3,1,安全,-3,2,-3,太贵,1
河北,35,2,2,2,2,1,1,1,1,1,1,1,0,疾病  开销  居住环境  家庭关系,1,0,0,1,1,1,1,0,0,0,2,-3,没必要,1,多方面保险,-3,1,多方面保险,-3,4
河北,59,1,2,7,2,1,0,0,0,0,0,0,0,疾病  自理或活动能力,1,0,0,0,1,0,0,0,0,0,1,优惠  有保证,-3,1,优惠   有保证,-3,1,优惠   有保证,-3,2
吉林,30,1,2,1,1,0,0,0,1,0,0,0,0,收入身体不好居住环境,0,1,0,0,0,0,0,0,0,0,2,-3,身体健康,1,有长远打算,-3,2,-3,有点贵。况且身体很好,6
河北,58,2,1,2,2,1,1,0,1,0,0,1,0,1.收入。家庭经济收入微薄2.家庭关系。婆媳关系3.活动能力下降。行动不便给子女增加负担。,1,0,0,0,0,0,1,0,0,0,2,-3,经济不足。时间较短。身体健康不需要。,2,-3,长期缴费对于家庭是一种负担。身体健康不需要。家人不同意。,2,-3,身体健康。经济负担。居住环境。,1
河北,31,2,1,2,4,1,0,0,0,0,0,0,0,疾病,0,1,0,0,0,0,0,0,0,0,1,比较安全,-3,1,比较安全,-3,2,-3,太贵,1
河北,36,1,2,2,2,0,0,1,0,1,0,0,0,收入,0,0,0,1,1,0,0,0,0,0,2,-3,不信任,2,-3,不信任,1,不信任,-3,4
河北,46,1,1,1,2,0,0,0,1,0,0,0,0,我担心我收入会降低，保证不了老年生活,1,0,0,0,0,0,0,0,0,0,2,-3,一年健康我觉得我可以保证,2,-3,我有家人可以照顾我，我相信,1,我不想成为家庭负担,-3,3
河北,59,2,1,7,1,1,0,0,0,0,0,0,0,心里情绪  疾病,1,0,1,0,0,0,0,0,0,0,1,优惠  有保证,-3,1,优惠   有保证,-3,1,优惠  有保证,-3,1
吉林,33,1,2,3,1,1,0,0,0,0,0,0,0,身体健康问题收入问题自理能力,0,0,1,0,0,0,0,0,0,0,2,-3,期限段,1,有长远打算,-3,2,-3,有点贵,4
河北,40,1,1,2,3,1,0,0,0,1,1,1,0,收入减少生活费少。儿女成家自己无人照顾。,1,0,0,0,0,1,1,0,0,0,1,缴费不会高。产品的病的种类多,-3,1,缴费不高，补偿费用高。服务类型多,-3,1,一次性支付费用太贵了,-3,3
吉林,39,2,1,2,2,0,0,1,0,1,0,0,0,家庭,0,0,0,0,1,1,0,0,0,0,1,性价比,-3,1,性价比,-3,2,-3,身体好,3
河北,40,1,2,2,3,0,1,0,0,1,0,0,0,存款不够，看不起病,1,0,0,1,0,0,0,0,0,0,1,报销一部分医疗费用；发生意外给予一部分赔偿,-3,1,老年护理有具体说明；能够得到免费医疗治疗,-3,1,疾病程度的说明；康复阶段给予的保障,-3,1
吉林,38,2,2,4,3,1,0,0,0,0,0,0,0,居住环境身体不好收入问题,1,0,0,0,0,0,0,0,0,0,2,-3,期限短,1,是否有效。便宜,-3,2,-3,不必太多保险,4
河北,32,1,2,1,2,1,1,1,0,0,0,0,0,疾病,1,1,1,0,0,0,0,0,0,0,1,为自己安全、介绍全部内容,-3,2,-3,有儿女,2,-3,太贵,1
山西,35,1,3,4,4,0,1,0,0,0,0,0,0,疾病,1,0,0,0,0,0,0,0,0,0,2,-3,没钱,2,-3,没钱,2,-3,没钱,1
河北,48,2,1,6,3,1,1,0,0,0,0,0,0,收入  开销  疾病,1,0,0,1,0,0,0,0,0,0,1,优惠  有保证,-3,1,优惠  有保证,-3,1,优惠   有保证,-3,1
吉林,35,1,2,4,1,1,0,0,0,0,0,0,0,居住环境身体不好收入,1,0,0,0,0,0,0,0,0,0,2,-3,身体健康,1,期限长。有效,-3,2,-3,不必太多保险,4
河北,31,2,3,1,1,0,1,0,1,0,0,0,0,收入，开销，居住环境,1,0,1,0,0,0,0,0,0,0,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,2
吉林,33,2,2,3,1,1,0,0,0,0,0,0,0,身体健康问题收入居住环境,1,0,0,0,0,0,0,0,0,0,2,-3,身体健康,1,长远打算，便宜,-3,2,-3,不必太多保险,4
河北,51,1,1,2,2,1,1,1,0,0,0,0,0,居住环境,1,0,0,0,0,1,0,0,0,0,1,安全、有保险,-3,2,-3,有儿女,2,-3,太贵,1
河北,45,1,1,1,4,1,1,0,0,1,0,0,0,居住环境，希望有所改善。疾病，不要有重大疾病。家庭关系，家人和睦最好了。,1,0,0,0,0,1,0,0,0,0,2,-3,未来一年时间太短，相比之下会购买长时间的保障服务。,1,较小疾病全额报销。重大疾病险种适合本人。,-3,1,险种适合。人性化。保费设计合理。,-3,3
北京,43,1,2,2,3,1,0,0,0,1,0,0,0,老年时没有存款，无法支付医疗费用,1,0,0,1,0,0,0,0,0,0,1,生病住院报销费用的具体说明,-3,1,护理状况的介绍；对疾病的免费治疗,-3,1,报销的比例说明；康复阶段的报销费用,-3,1
北京,35,2,4,2,2,0,0,0,0,0,1,0,0,收入开销家庭,1,0,0,0,0,0,0,0,0,0,1,安全   服务到位,-3,1,态度好    安全保证,-3,1,稳定,-3,3
河南,39,1,1,4,3,1,0,0,1,0,0,0,0,活动能力下降,1,0,0,0,0,1,0,0,0,0,1,期限，资金,-3,1,期限，资金,-3,2,-3,资金,2
天津,56,2,2,6,3,1,1,0,0,0,0,0,0,疾病  收入,1,0,0,0,0,0,0,0,0,0,1,优惠  有保证,-3,1,优惠  有保证,-3,1,优惠  有保证,-3,1
河北,35,2,1,4,2,1,1,1,0,0,0,0,0,疾病，收入，开销，心理情绪。,1,0,1,1,1,0,0,0,0,0,1,1.价格适中2.服务便捷3.公司可靠度高。,-3,1,1.能够确保在能够使用的时候使用。2.相对于养老保险要价格更合适。3.要有对公司长期的信用度，公司要为我们提供足够让我们信任的产品。,-3,1,1.要比养老保险更合适。2.要有累积制度。3.给予及时的反馈。,-3,3
河北,46,1,1,2,2,1,1,1,0,0,0,0,0,疾病,1,1,0,0,0,0,0,0,0,0,1,比较安全、有保险,-3,2,-3,有儿女,2,-3,太贵,1
上海,50,2,2,2,1,1,0,0,0,0,0,0,0,心理   收入,0,0,0,1,0,0,0,0,0,0,1,安全    稳定,-3,2,-3,没钱    不识字,2,-3,没钱    不识字,1
河北,49,1,1,2,1,0,1,0,0,0,0,0,0,疾病  收入,1,0,0,0,0,0,0,0,0,0,1,优惠  有保证,-3,1,优惠  有保证,-3,1,优惠  有保证,-3,1
安徽,36,2,4,2,2,0,0,1,0,0,0,0,0,自理,0,1,0,0,0,0,0,0,0,0,1,有保证   服务到位,-3,1,安全   服务到位,-3,1,安全   服务到位,-3,4
河北,56,1,1,1,1,1,1,1,0,0,0,0,0,疾病、自理,1,1,1,0,0,0,0,0,0,0,1,安全、有保险,-3,1,安全、保命,-3,1,安全、有保障,-3,4
辽宁,36,1,1,2,3,0,0,0,0,1,0,0,0,身体健康,0,0,0,1,0,0,0,0,0,0,1,性价比高,-3,1,性价比高,-3,1,性价比高,-3,1
河北,53,1,1,2,2,1,1,0,0,0,0,0,0,疾病  收入,1,0,0,0,0,0,0,0,0,0,1,优惠  有保证,-3,1,优惠  有保证,-3,1,优惠  有保证,-3,1
内蒙古,36,1,3,2,3,0,0,0,0,0,1,0,0,环境     自理,0,1,1,0,0,0,0,0,0,0,1,安全   服务到位,-3,1,安全   服务到位,-3,1,安全   服务到位,-3,2
河北,37,2,1,4,1,0,0,1,0,0,0,1,0,收入，开销，居住环境,1,0,0,1,0,0,0,0,0,0,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,3
甘肃,51,1,1,6,3,1,0,0,0,0,1,0,0,子女不在身边，一个人身体出问题,0,0,0,0,1,1,1,0,0,0,1,价格合适，保障范围广，理赔时限短,-3,2,-3,经济问题，务农年收入不定，子女常在身边,1,价格合理，定期体检，,-3,2
河北,44,2,2,2,2,0,1,0,0,0,1,0,0,收入  疾病,1,0,0,0,0,0,0,0,0,0,1,优惠  有保证,-3,1,优惠  有保证,-3,1,优惠  有保证,-3,1
河北,46,1,1,2,2,1,1,1,0,0,0,0,0,收入,1,1,0,0,0,0,0,0,0,0,1,安全，有保障,-3,1,安全、有保障,-3,1,全安，有保障,-3,1
北京,53,1,2,6,4,1,1,0,0,0,0,0,0,没钱看不起病,1,0,0,1,0,0,0,0,0,0,1,对于有疾病报销比例有具体详细的介绍,-3,1,对老年的护理状况如何；对疾病的免费治疗,-3,1,对重大疾病的赔偿的具体数额；康复阶段的保障,-3,1
吉林,36,2,1,2,2,0,0,0,0,1,0,0,0,家庭   疾病,0,0,0,0,1,0,0,0,0,0,1,安全   服务到位,-3,1,安全   服务到位,-3,1,安全   服务到位,-3,4
河北,32,1,2,2,1,0,0,0,1,0,1,0,0,家庭关系，疾病，活动能力,1,0,1,0,0,0,0,0,0,0,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,3
山西,36,1,3,2,1,0,0,0,0,0,1,0,0,性价比高,1,0,0,0,0,0,0,0,0,0,1,性价比高,-3,1,性价比高,-3,1,性价比高,-3,3
河北,40,1,1,2,3,1,0,1,0,1,0,0,0,活动能力下降   腿脚越来越不好使,1,1,1,1,0,0,0,0,0,0,2,-3,觉得不太靠谱,1,服务全面，价格合理,-3,1,真实，有保障,-3,2
山西,45,1,2,4,2,0,0,0,0,1,0,1,0,身体健康,1,0,0,0,1,0,0,0,0,0,1,性价比高,-3,1,性价比高,-3,1,回报高,-3,4
辽宁,36,2,5,3,2,0,0,1,0,0,0,0,0,开销    收入,1,1,0,0,0,0,0,0,0,0,1,安全    服务到位,-3,1,安全    服务到位,-3,1,安全    服务到位,-3,4
河北,45,1,3,5,3,0,1,1,0,0,0,1,0,疾病问题住院花费太多,0,1,0,1,0,0,0,0,0,1,2,-3,钱不多,2,-3,花费太多总是比较麻烦,1,出事情保险公司服务比较周到,-3,2
河北,44,2,1,2,3,1,0,0,0,0,0,0,0,疾病  收入,1,0,0,0,0,0,0,0,0,0,1,优惠  有保证,-3,1,优惠  有保证,-3,1,优惠  有保证,-3,1
河北,55,1,1,2,2,1,1,0,0,0,0,0,0,开销,1,1,0,0,0,0,0,0,0,0,1,安全、有保障,-3,1,安全，有保障,-3,2,-3,太贵,1
辽宁,32,1,2,4,1,0,0,0,1,0,0,0,0,工资问题,1,0,0,0,0,1,0,0,0,0,1,投入少,-3,1,性价比高,-3,1,保障确切,-3,3
河北,36,2,4,1,3,0,0,0,0,1,0,0,0,收入    家庭,0,1,0,0,1,0,0,0,0,0,1,安全    服务到位,-3,1,安全    服务到位,-3,1,安全    服务到位,-3,5
河北,38,1,2,2,3,0,1,0,0,1,0,0,0,活动能力开销疾病,0,1,1,0,0,0,0,0,0,0,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,1,回报率高，必要性高，落实性强,-3,3
山西,45,1,1,1,1,0,1,1,0,0,0,0,0,开销  疾病,1,0,0,0,0,0,0,0,0,0,1,优惠  有保证,-3,1,优惠  有保证,-3,1,优惠  有保证,-3,1
